sample_ID,plot,plot_no,niche,treatment,sample_no,1.5s_peak_area,known,notes
2023_06_12_REH_FertNfix_001,standard,,,,5 ppm,18289.9,5,06 12
2023_06_12_REH_FertNfix_002,standard,,,,5 ppm,18669,5,
2023_06_12_REH_FertNfix_003,standard,,,,5 ppm,18343.8,5,
2023_06_12_REH_FertNfix_004,standard,,,,10 ppm,90036.1,10,
2023_06_12_REH_FertNfix_005,standard,,,,10 ppm,88882.7,10,
2023_06_12_REH_FertNfix_006,standard,,,,10 ppm,90826.2,10,
2023_06_12_REH_FertNfix_007,standard,,,,25 ppm,253148.6,25,
2023_06_12_REH_FertNfix_008,standard,,,,25 ppm,252341.6,25,
2023_06_12_REH_FertNfix_009,standard,,,,25 ppm,258613.5,25,
2023_06_12_REH_FertNfix_010,standard,,,,100 ppm,1159584.3,100,
2023_06_12_REH_FertNfix_011,standard,,,,100 ppm,,100,1132563.8
2023_06_12_REH_FertNfix_012,standard,,,,100 ppm,1202608.4,100,
2023_06_12_REH_FertNfix_013,standard,,,,100 ppm,1209716.2,100,
2023_06_12_REH_FertNfix_014,standard,,,,100 ppm,1204139.8,100,
2023_06_12_REH_FertNfix_015,Huck,1,soil,C,1,10123.3,4.326164,
2023_06_12_REH_FertNfix_016,Huck,1,soil,C,2,24699.4,5.492252,
2023_06_12_REH_FertNfix_017,Huck,1,wood,C,1,11391.2,4.427596,
2023_06_12_REH_FertNfix_018,Huck,1,wood,C,2,15182.3,4.730884,
2023_06_12_REH_FertNfix_019,Huck,1,Oi,C,1,18441.7,4.991636,
2023_06_12_REH_FertNfix_020,Huck,1,Oi,C,2,15258,4.73694,
2023_06_12_REH_FertNfix_021,Huck,1,poju,C,1,69927.5,9.1105,
2023_06_12_REH_FertNfix_022,Huck,1,poju,C,2,6741.5,4.05562,
2023_06_12_REH_FertNfix_023,Huck,1,poju,C,3,0,3.5163,
2023_06_12_REH_FertNfix_024,Huck,1,peca,C,1,6177.7,4.010516,
2023_06_12_REH_FertNfix_025,Huck,1,peca,C,2,422987.6,37.355308,
2023_06_12_REH_FertNfix_026,Huck,1,peca,C,3,5839502,470.67646,
2023_06_12_REH_FertNfix_027,Huck,1,peca,50,1,518897.5,45.0281,
2023_06_12_REH_FertNfix_028,Huck,1,peca,50,2,1184839.8,98.303484,
2023_06_12_REH_FertNfix_029,Huck,1,peca,50,3,10014691.8,804.691644,
2023_06_12_REH_FertNfix_030,Huck,1,soil,50,1,95766.1,11.177588,
2023_06_12_REH_FertNfix_031,Huck,1,soil,50,2,28362,5.78526,
2023_06_12_REH_FertNfix_032,Huck,1,wood,50,1,49763.3,7.497364,
2023_06_12_REH_FertNfix_033,Huck,1,wood,50,2,20297.2,5.140076,
2023_06_12_REH_FertNfix_034,Huck,1,Oi,50,1,13944.6,4.631868,
2023_06_12_REH_FertNfix_035,Huck,1,Oi,50,2,19508.4,5.076972,
2023_06_12_REH_FertNfix_046,standard,,,,5 ppm,20557.7,5.160916,06 13
2023_06_12_REH_FertNfix_047,standard,,,,5 ppm,19223.5,5.05418,
2023_06_12_REH_FertNfix_048,standard,,,,5 ppm,17868.4,4.945772,
2023_06_12_REH_FertNfix_049,standard,,,,10 ppm,78174.9,9.770292,
2023_06_12_REH_FertNfix_050,standard,,,,10 ppm,89254.2,10.656636,
2023_06_12_REH_FertNfix_051,standard,,,,10 ppm,81157.4,10.008892,
2023_06_12_REH_FertNfix_052,standard,,,,25 ppm,231213.9,22.013412,
2023_06_12_REH_FertNfix_053,standard,,,,25 ppm,222046.3,21.280004,
2023_06_12_REH_FertNfix_054,standard,,,,25 ppm,252835,23.7431,
2023_06_12_REH_FertNfix_055,standard,,,,100 ppm,1235237.2,102.335276,
2023_06_12_REH_FertNfix_056,standard,,,,100 ppm,1231736.5,102.05522,
2023_06_12_REH_FertNfix_057,standard,,,,100 ppm,1212612.1,100.525268,
2023_06_12_REH_FertNfix_058,Huck,1,poju,50,1,8624.2,4.206236,
2023_06_12_REH_FertNfix_059,Huck,1,poju,50,2,43879.7,7.026676,
2023_06_12_REH_FertNfix_060,Huck,1,poju,50,3,91780,10.8587,
2023_06_12_REH_FertNfix_061,Bag A ,,Blank,,1,8738,4.21534,
2023_06_12_REH_FertNfix_062,Bag A,,Blank,,2,14899.7,4.708276,
2023_06_12_REH_FertNfix_063,Huck,2,soil,C,1,24890.6,5.507548,
2023_06_12_REH_FertNfix_064,Huck,2,soil,C,2,26976.6,5.674428,
2023_06_12_REH_FertNfix_065,Huck,2,wood,C,1,19596.4,5.084012,
2023_06_12_REH_FertNfix_066,Huck,2,wood,C,2,72913,9.34934,
2023_06_12_REH_FertNfix_067,Huck,2,poju,C,1,198735,19.4151,
2023_06_12_REH_FertNfix_068,Huck,2,poju,C,2,8500.5,4.19634,
2023_06_12_REH_FertNfix_069,Huck,2,poju,C,3,15459.3,4.753044,
2023_06_12_REH_FertNfix_070,Huck,2,peca,C,1,654840.5,55.90354,
2023_06_12_REH_FertNfix_071,Huck,2,peca,C,2,2604528.2,211.878556,
2023_06_12_REH_FertNfix_072,Huck,2,peca,C,3,9169027.9,737.038532,
2023_06_12_REH_FertNfix_073,Huck,2,Oi,C,1,119192.9,13.051732,
2023_06_12_REH_FertNfix_074,Huck,2,Oi,C,2,26565.5,5.64154,
2023_06_12_REH_FertNfix_075,Huck,2,soil,50,1,26567.7,5.641716,
2023_06_12_REH_FertNfix_076,Huck,2,soil,50,2,16431.8,4.830844,
2023_06_12_REH_FertNfix_077,Huck,2,wood,50,1,17835.3,4.943124,
2023_06_12_REH_FertNfix_078,Huck,2,wood,50,2,14414.4,4.669452,
2023_06_12_REH_FertNfix_079,Huck,2,poju,50,1,17762.1,4.937268,
2023_06_12_REH_FertNfix_080,Huck,2,poju,50,2,17296.8,4.900044,
2023_06_12_REH_FertNfix_081,Huck,2,poju,50,3,6654.5,4.04866,
2023_06_12_REH_FertNfix_082,Huck,2,peca,50,1,15178081,1217.76278,
2023_06_12_REH_FertNfix_083,Huck,2,peca,50,2,121966,13.27358,
2023_06_12_REH_FertNfix_084,Huck,2,peca,50,3,20990297.9,1682.740132,
2023_06_12_REH_FertNfix_085,Huck,2,Oi,50,1,82841.3,10.143604,
2023_06_12_REH_FertNfix_086,Huck,2,Oi,50,2,27797.6,5.740108,
2023_06_12_REH_FertNfix_087,Huck,Blank,poju,C,,11377.2,4.426476,
2023_06_12_REH_FertNfix_088,Huck,Blank,poju,50,,158012.8,16.157324,
2023_06_12_REH_FertNfix_089,standard,,,,25 ppm,255429,23.95062,
2023_06_12_REH_FertNfix_090,standard,,,,25 ppm,235505.6,22.356748,
2023_06_12_REH_FertNfix_091,standard,,,,25 ppm,235505.6,22.356748,
2023_06_12_REH_FertNfix_092,Huck,Blank,Oi,C,,19605.1,5.084708,
2023_06_12_REH_FertNfix_093,Huck,Blank,Oi,50,,19208,5.05294,
2023_06_12_REH_FertNfix_094,Huck,Blank,peca,C,,9949.4,4.312252,
2023_06_12_REH_FertNfix_095,Huck,Blank,soil,C,,16125.3,4.806324,
2023_06_12_REH_FertNfix_096,Huck,Blank,soil,50,,16419.3,4.829844,
2023_06_12_REH_FertNfix_097,Huck,Blank,wood,C,,6344.3,4.023844,
2023_06_12_REH_FertNfix_098,Huck,Blank,wood,50,,3009.2,3.757036,
2023_06_12_REH_FertNfix_099,Huck,3,soil,C,1,22521.4,5.318012,
2023_06_12_REH_FertNfix_100,Huck,3,soil,C,2,21538.2,5.239356,
2023_06_12_REH_FertNfix_101,Huck,3,wood,C,1,43481.1,6.994788,
2023_06_12_REH_FertNfix_102,Huck,3,wood,C,2,38406.9,6.588852,
2023_06_12_REH_FertNfix_103,Huck,3,Oi,C,1,25712.1,5.573268,
2023_06_12_REH_FertNfix_104,Huck,3,Oi,C,2,22323.7,5.302196,
2023_06_12_REH_FertNfix_105,Huck,3,poju,C,1,17899.8,4.948284,
2023_06_12_REH_FertNfix_106,Huck,3,poju,C,2,11260.9,4.417172,
2023_06_12_REH_FertNfix_107,Huck,3,poju,C,3,8637.1,4.207268,
2023_06_12_REH_FertNfix_108,Huck,3,peca,C,1,1447024.9,119.278292,
2023_06_12_REH_FertNfix_109,Huck,3,peca,C,2,5116368.5,412.82578,
2023_06_12_REH_FertNfix_110,Huck,3,peca,C,3,114044.1,12.639828,
2023_06_12_REH_FertNfix_111,Huck,3,Oi,50,1,16882.6,4.866908,
2023_06_12_REH_FertNfix_112,Huck,3,Oi,50,2,20571.5,5.16202,
2023_06_12_REH_FertNfix_113,Huck,3,soil,50,1,20957.6,5.192908,
2023_06_12_REH_FertNfix_114,Huck,3,soil,50,2,12308.1,4.500948,
2023_06_12_REH_FertNfix_115,Huck,3,wood,50,1,25426,5.55038,
2023_06_12_REH_FertNfix_116,Huck,3,wood,50,2,58667.7,8.209716,
2023_06_12_REH_FertNfix_117,Huck,3,poju,50,1,16749.1,4.856228,
2023_06_12_REH_FertNfix_118,Huck,3,poju,50,2,7324.6,4.102268,
2023_06_12_REH_FertNfix_119,Huck,3,poju,50,3,9340.1,4.263508,
2023_06_12_REH_FertNfix_120,Huck,3,peca,50,1,10148942.9,815.431732,
2023_06_12_REH_FertNfix_121,Huck,3,peca,50,2,2965506.5,240.75682,
2023_06_12_REH_FertNfix_122,Huck,3,peca,50,3,52622.7,7.726116,
2023_06_12_REH_FertNfix_123,standard,,,,100 ppm,1184779.3,98.298644,
2023_06_12_REH_FertNfix_124,standard,,,,100 ppm,1197183.8,99.291004,
2023_06_12_REH_FertNfix_125,standard,,,,100 ppm,1178641.4,97.807612,
2023_06_12_REH_FertNfix_126,Berry,1,Oi,C,1,10663.4,4.369372,
2023_06_12_REH_FertNfix_127,Berry,1,Oi,C,2,68435.8,8.991164,
2023_06_12_REH_FertNfix_128,Berry,1,poju,C,1,17226.4,4.894412,
2023_06_12_REH_FertNfix_129,Berry,1,poju,C,2,5723.2,3.974156,
2023_06_12_REH_FertNfix_130,Berry,1,poju,C,3,7541.1,4.119588,
2023_06_12_REH_FertNfix_131,Berry,1,soil,C,1,14149.4,4.648252,
2023_06_12_REH_FertNfix_132,Berry,1,soil,C,2,5337.3,3.943284,
2023_06_12_REH_FertNfix_133,Berry,1,wood,C,1,6066,4.00158,
2023_06_12_REH_FertNfix_134,Berry,1,wood,C,2,21321.3,5.222004,
2023_06_12_REH_FertNfix_135,Berry,1,soil,50,1,16276.8,4.818444,
2023_06_12_REH_FertNfix_136,Berry,1,soil,50,2,19931.1,5.110788,
2023_06_12_REH_FertNfix_137,Berry,1,Oi,50,1,10703.6,4.372588,
2023_06_12_REH_FertNfix_138,Berry,1,Oi,50,2,11744.3,4.455844,
2023_06_12_REH_FertNfix_139,Berry,1,wood,50,1,11614.3,4.445444,
2023_06_12_REH_FertNfix_140,Berry,1,wood,50,2,12984.4,4.555052,
2023_06_12_REH_FertNfix_141,Berry,1,poju,50,1,11199.7,4.412276,
2023_06_12_REH_FertNfix_142,Berry,1,poju,50,2,9967.2,4.313676,
2023_06_12_REH_FertNfix_143,Berry,1,poju,50,3,12461.3,4.513204,
2023_06_12_REH_FertNfix_144,Bag B,,Blank,,1,12535.9,4.519172,
2023_06_12_REH_FertNfix_145,Bag B,,Blank,,2,13712.6,4.613308,
2023_06_12_REH_FertNfix_146,Berry,2,soil,C,1,18421.3,4.990004,
2023_06_12_REH_FertNfix_147,Berry,2,soil,C,2,37254.9,6.496692,
2023_06_12_REH_FertNfix_148,Berry,2,wood,C,1,12401.3,4.508404,
2023_06_12_REH_FertNfix_149,Berry,2,wood,C,2,42724.5,6.93426,
2023_06_12_REH_FertNfix_150,Berry,2,poju,C,1,20582,5.16286,
2023_06_13_REH_FertNfix_151,standard,,,,100 ppm,1208539.7,100.199476,**Start of new file
2023_06_13_REH_FertNfix_152,standard,,,,100 ppm,1207906,100.14878,
2023_06_13_REH_FertNfix_153,standard,,,,100 ppm,1203505.4,99.796732,
2023_06_13_REH_FertNfix_154,Berry,2,poju,C,2,27940.2,5.751516,
2023_06_13_REH_FertNfix_155,Berry,2,poju,C,3,17517.6,4.917708,
2023_06_13_REH_FertNfix_156,Berry,2,Oi,C,1,18302.8,4.980524,
2023_06_13_REH_FertNfix_157,Berry,2,Oi,C,2,11982.6,4.474908,
2023_06_13_REH_FertNfix_158,Berry,2,soil,50,,6323.5,4.02218,
2023_06_13_REH_FertNfix_159,Berry,2,soil,50,,12896.8,4.548044,
2023_06_13_REH_FertNfix_160,Berry,2,wood,50,,12740.3,4.535524,
2023_06_13_REH_FertNfix_161,Berry,2,wood,50,,7589.8,4.123484,
2023_06_13_REH_FertNfix_162,Berry,2,poju,50,,11497.3,4.436084,
2023_06_13_REH_FertNfix_163,Berry,2,poju,50,,15057.8,4.720924,
2023_06_13_REH_FertNfix_164,Berry,2,poju,50,,11150.2,4.408316,
2023_06_13_REH_FertNfix_165,Berry,Blank,soil,C,,1954.8,3.672684,
2023_06_13_REH_FertNfix_166,Berry,Blank,soil,50,,0,3.5163,
2023_06_13_REH_FertNfix_167,Berry,Blank,Oi,C,,1721.3,3.654004,
2023_06_13_REH_FertNfix_168,Berry,Blank,Oi,50,,0,3.5163,
2023_06_13_REH_FertNfix_169,Berry,Blank,wood,C,,0,3.5163,
2023_06_13_REH_FertNfix_170,Berry,Blank,wood,50,,0,3.5163,
2023_06_13_REH_FertNfix_171,Berry,Blank,poju,C,,0,3.5163,
2023_06_13_REH_FertNfix_172,Berry,Blank,poju,50,,1276.6,3.618428,
2023_06_13_REH_FertNfix_173,Berry,2,Oi,50,1,11985,4.4751,
2023_06_13_REH_FertNfix_174,Berry,3,Oi,50,2,7862.4,4.145292,
2023_06_13_REH_FertNfix_175,Berry,3,poju,C,1,12222,4.49406,
2023_06_13_REH_FertNfix_176,Berry,3,poju,C,2,7728.5,4.13458,
2023_06_13_REH_FertNfix_177,standard,,,,5 ppm,52742.3,5,06 14
2023_06_13_REH_FertNfix_178,standard,,,,5 ppm,47743.8,5,
2023_06_13_REH_FertNfix_179,standard,,,,5 ppm,45196.3,5,
2023_06_13_REH_FertNfix_180,standard,,,,5 ppm,43071.1,5,
2023_06_13_REH_FertNfix_181,standard,,,,10 ppm,108662.9,10,
2023_06_13_REH_FertNfix_182,standard,,,,10 ppm,109231,10,
2023_06_13_REH_FertNfix_183,standard,,,,10 ppm,98008.9,10,
2023_06_13_REH_FertNfix_187,standard,,,,100 ppm,1245752.5,100,
2023_06_13_REH_FertNfix_188,standard,,,,100 ppm,1225424.8,100,
2023_06_13_REH_FertNfix_189,standard,,,,100 ppm,1240331.6,100,
2023_06_13_REH_FertNfix_191,standard,,,,25 ppm,277863,25,**remade
2023_06_13_REH_FertNfix_192,standard,,,,25 ppm,254462.4,25,**remade
2023_06_13_REH_FertNfix_193,standard,,,,25 ppm,248739.1,25,**remade
2023_06_13_REH_FertNfix_194,Berry,3,poju,C,3,57728.8,7.005704,
2023_06_13_REH_FertNfix_195,Berry,3,soil,C,1,17498.7,3.787296,
2023_06_13_REH_FertNfix_196,Berry,3,soil,C,2,11562.3,3.312384,
2023_06_13_REH_FertNfix_197,Berry,3,Oi,C,1,6488.2,2.906456,
2023_06_13_REH_FertNfix_198,Berry,3,Oi,C,2,12448,3.38324,
2023_06_13_REH_FertNfix_199,Berry,3,wood,C,1,18179.6,3.841768,
2023_06_13_REH_FertNfix_200,Berry,3,wood,C,2,18179.6,3.841768,
2023_06_13_REH_FertNfix_201,Berry,3,poju,50,1,9884.3,3.178144,
2023_06_13_REH_FertNfix_202,Berry,3,poju,50,2,30805,4.8518,
2023_06_13_REH_FertNfix_203,Berry,3,poju,50,3,25248.4,4.407272,
2023_06_13_REH_FertNfix_204,Berry,3,Oi,50,1,2665.6,2.600648,
2023_06_13_REH_FertNfix_205,Berry,3,Oi,50,2,10821.8,3.253144,
2023_06_13_REH_FertNfix_206,Berry,3,wood,50,1,11403.7,3.299696,
2023_06_13_REH_FertNfix_207,Berry,3,wood,50,2,10436.4,3.222312,
2023_06_13_REH_FertNfix_208,Berry,3,soil,50,1,15299.2,3.611336,
2023_06_13_REH_FertNfix_209,Berry,3,soil,50,2,12967,3.42476,
2023_06_13_REH_FertNfix_210,Glade,1,poju,C,,11473,3.30524,
2023_06_13_REH_FertNfix_211,Glade,1,poju,C,,7546.1,2.991088,
2023_06_13_REH_FertNfix_212,Glade,1,poju,C,,11927.3,3.341584,
2023_06_13_REH_FertNfix_213,Glade,1,Oi,C,,8366.1,3.056688,
2023_06_13_REH_FertNfix_214,Glade,1,Oi,C,,5845,2.855,
2023_06_13_REH_FertNfix_215,Glade,1,soil,C,,13405.7,3.459856,
2023_06_13_REH_FertNfix_216,Glade,1,soil,C,,9257.8,3.128024,
2023_06_13_REH_FertNfix_217,Glade,1,wood,C,,21363.1,4.096448,
2023_06_13_REH_FertNfix_218,Glade,1,wood,C,,14665.8,3.560664,
2023_06_13_REH_FertNfix_219,Glade,1,poju,50,,3104.7,2.635776,
2023_06_13_REH_FertNfix_220,Glade,1,poju,50,,5023.7,2.789296,
2023_06_13_REH_FertNfix_221,Glade,1,poju,50,,13350.5,3.45544,
2023_06_13_REH_FertNfix_222,Glade,1,Oi,50,,5407.2,2.819976,
2023_06_13_REH_FertNfix_223,Glade,1,Oi,50,,6056.9,2.871952,
2023_06_13_REH_FertNfix_224,standard,,,,25 ppm,264223.1,23.525248,
2023_06_13_REH_FertNfix_225,standard,,,,25 ppm,280961.5,24.86432,
2023_06_13_REH_FertNfix_226,standard,,,,25 ppm,278731.7,24.685936,
2023_06_13_REH_FertNfix_227,Glade,1,soil,50,,11449.6,3.303368,
2023_06_13_REH_FertNfix_228,Glade,1,soil,50,,5982.4,2.865992,
2023_06_13_REH_FertNfix_229,Glade,1,wood,50,,17420.5,3.78104,
2023_06_13_REH_FertNfix_230,Glade,1,wood,50,,51480.5,6.50584,
2023_06_13_REH_FertNfix_231,Glade,2,poju,C,,24007.6,4.308008,
2023_06_13_REH_FertNfix_232,Glade,2,poju,C,,11551.5,3.31152,
2023_06_13_REH_FertNfix_233,Glade,2,poju,C,,1675.9,2.521472,
2023_06_13_REH_FertNfix_234,Glade,2,Oi,C,,10187.4,3.202392,
2023_06_13_REH_FertNfix_235,Glade,2,Oi,C,,8145.1,3.039008,
2023_06_13_REH_FertNfix_236,Glade,2,soil,C,,5327.2,2.813576,
2023_06_13_REH_FertNfix_237,Glade,2,soil,C,,14755.4,3.567832,
2023_06_13_REH_FertNfix_238,Glade,2,wood,C,,42102.6,5.755608,
2023_06_13_REH_FertNfix_239,Glade,2,wood,C,,21087.4,4.074392,
2023_06_13_REH_FertNfix_240,Glade,2,poju,50,,1353.5,2.49568,
2023_06_13_REH_FertNfix_241,Glade,2,poju,50,,4765.1,2.768608,
2023_06_13_REH_FertNfix_242,Glade,2,poju,50,,13410.4,3.460232,
2023_06_13_REH_FertNfix_243,Glade,2,Oi,50,,11905.7,3.339856,
2023_06_13_REH_FertNfix_244,Glade,2,Oi,50,,12826.9,3.413552,
2023_06_13_REH_FertNfix_245,Glade,2,soil,50,,15978.8,3.665704,
2023_06_13_REH_FertNfix_246,Glade,2,soil,50,,9191,3.12268,
2023_06_13_REH_FertNfix_247,Glade,2,wood,50,,21973.5,4.14528,
2023_06_13_REH_FertNfix_248,Glade,2,wood,50,,16071.8,3.673144,
2023_06_13_REH_FertNfix_249,Glade,Blank,poju,C,,0,2.3874,
2023_06_13_REH_FertNfix_250,Glade,Blank,poju,50,,0,2.3874,
2023_06_13_REH_FertNfix_251,Glade,Blank,Oi,C,,0,2.3874,
2023_06_13_REH_FertNfix_252,Glade,Blank,Oi,50,,0,2.3874,
2023_06_13_REH_FertNfix_253,Glade,Blank,soil,C,,1123.8,2.477304,
2023_06_13_REH_FertNfix_254,Glade,Blank,soil,50,,0,2.3874,
2023_06_13_REH_FertNfix_255,Glade,Blank,wood,C,,0,2.3874,
2023_06_13_REH_FertNfix_256,Glade,Blank,wood,50,,0,2.3874,
2023_06_13_REH_FertNfix_257,standard,,,,100 ppm,1217417.6,99.780808,
2023_06_13_REH_FertNfix_258,standard,,,,100 ppm,676436.4,56.502312,**I messed this injection up
2023_06_13_REH_FertNfix_259,standard,,,,100 ppm,1210366.5,99.21672,
2023_06_13_REH_FertNfix_260,Glade,3,poju,C,,2549.3,2.591344,
2023_06_13_REH_FertNfix_261,Glade,3,poju,C,,12811.9,3.412352,
2023_06_13_REH_FertNfix_262,Glade,3,poju,C,,11777.7,3.329616,
2023_06_13_REH_FertNfix_263,Glade,3,Oi,C,,100078.8,10.393704,
2023_06_13_REH_FertNfix_264,Glade,3,Oi,C,,15842.1,3.654768,
2023_06_13_REH_FertNfix_265,Glade,3,soil,C,,12406.8,3.379944,
2023_06_13_REH_FertNfix_266,Glade,3,soil,C,,18807.4,3.891992,
2023_06_13_REH_FertNfix_267,Glade,3,wood,C,,24200.8,4.323464,
2023_06_13_REH_FertNfix_268,Glade,3,wood,C,,8489.3,3.066544,
2023_06_13_REH_FertNfix_269,Glade,3,poju,50,,6297.9,2.891232,
2023_06_13_REH_FertNfix_270,Glade,3,poju,50,,11574.3,3.313344,
2023_06_13_REH_FertNfix_271,Glade,3,poju,50,,4123.5,2.71728,
2023_06_13_REH_FertNfix_272,Glade,3,Oi,50,,7844.1,3.014928,
2023_06_13_REH_FertNfix_273,Glade,3,Oi,50,,6010.3,2.868224,
2023_06_13_REH_FertNfix_274,Glade,3,soil,50,,4282.7,2.730016,
2023_06_13_REH_FertNfix_275,Glade,3,soil,50,,11693.8,3.322904,
2023_06_13_REH_FertNfix_276,Glade,3,wood,50,,62907.6,7.420008,
2023_06_13_REH_FertNfix_277,Glade,3,wood,50,,67729.9,7.805792,
